Iteration;False Positive
1357;97,285995
1358;97,284004
1359;97,282
1360;97,28
1361;97,278
1362;97,276
1363;97,274
1364;97,272
1365;97,27
1366;97,268
1367;97,266
1368;97,264
1369;97,262
1370;97,259995
1371;97,258
1372;97,256
1373;97,254005
1374;97,252
1375;97,25
1376;97,248
1377;97,245995
1378;97,244
1379;97,242
1380;97,24
1381;97,238
1382;97,236
1383;97,234
1384;97,232
1385;97,229996
1386;97,228004
1387;97,226
1388;97,224
1389;97,222
1390;97,22
1391;97,218
1392;97,215996
1393;97,214005
1394;97,212
1395;97,21
1396;97,208
1397;97,206
1398;97,204
1399;97,201996
1400;97,2
1401;97,198
1402;97,196
1403;97,194
1404;97,192
1405;97,19
1406;97,188
1407;97,186
1408;97,184006
1409;97,182
1410;97,18
1411;97,178
1412;97,175995
1413;97,174
1414;97,172
1415;97,17
1416;97,168
1417;97,166
1418;97,164
1419;97,162
1420;97,159996
1421;97,158005
1422;97,156
1423;97,154
1424;97,152
1425;97,15
1426;97,148
1427;97,145996
1428;97,144005
1429;97,142
1430;97,14
1431;97,138
1432;97,136
1433;97,134
1434;97,131996
1435;97,13
1436;97,128
1437;97,126
1438;97,124
1439;97,122
1440;97,119995
1441;97,118004
1442;97,116
1443;97,114006
1444;97,112
1445;97,11
1446;97,108
1447;97,105995
1448;97,104004
1449;97,102
1450;97,1
1451;97,098
1452;97,096
1453;97,094
1454;97,092
1455;97,09
1456;97,088
1457;97,086
1458;97,084
1459;97,082
1460;97,08
1461;97,078
1462;97,076
1463;97,074005
1464;97,072
1465;97,07
1466;97,068
1467;97,065994
1468;97,064
1469;97,062
1470;97,06
1471;97,058
1472;97,056
1473;97,054
1474;97,052
1475;97,05
1476;97,048004
1477;97,046
1478;97,044
1479;97,042
1480;97,04
1481;97,038
1482;97,035995
1483;97,034004
1484;97,032
1485;97,03
1486;97,028
1487;97,026
1488;97,024
1489;97,022
1490;97,02
1491;97,018
1492;97,016
1493;97,014
1494;97,012
1495;97,01
1496;97,008
1497;97,006
1498;97,004005
1499;97,002
1500;97
1501;96,998
1502;96,995995
1503;96,994
1504;96,992
1505;96,99
1506;96,988
1507;96,986
1508;96,984
1509;96,982
1510;96,979996
1511;96,978004
1512;96,976
1513;96,974
1514;96,972
1515;96,97
1516;96,968
1517;96,965996
1518;96,964005
1519;96,962
1520;96,96
1521;96,958
1522;96,956
1523;96,954
1524;96,951996
1525;96,95
1526;96,948
1527;96,946
1528;96,944
1529;96,942
1530;96,94
1531;96,938
1532;96,936
1533;96,934006
1534;96,932
1535;96,93
1536;96,928
1537;96,925995
1538;96,924
1539;96,922
1540;96,92
1541;96,918
1542;96,916
1543;96,914
1544;96,912
1545;96,91
1546;96,908
1547;96,906
1548;96,904
1549;96,902
1550;96,9
1551;96,898
1552;96,895996
1553;96,894005
1554;96,892
1555;96,89
1556;96,888
1557;96,885994
1558;96,884
1559;96,881996
1560;96,88
1561;96,878
1562;96,876
1563;96,874
1564;96,872
1565;96,87
1566;96,868004
1567;96,866
1568;96,864006
1569;96,862
1570;96,86
1571;96,858
1572;96,855995
1573;96,854004
1574;96,852
1575;96,85
1576;96,848
1577;96,846
1578;96,844
1579;96,842
1580;96,84
1581;96,838
1582;96,836
1583;96,834
1584;96,832
1585;96,83
1586;96,828
1587;96,826
1588;96,824005
1589;96,822
1590;96,82
1591;96,818
1592;96,815994
1593;96,814
1594;96,812
1595;96,81
1596;96,808
1597;96,806
1598;96,804
1599;96,802
1600;96,8
1601;96,798004
1602;96,796
1603;96,794
1604;96,792
1605;96,79
1606;96,788
1607;96,785995
1608;96,784004
1609;96,782
1610;96,78
1611;96,778
1612;96,776
1613;96,774
1614;96,771996
1615;96,770004
1616;96,768
1617;96,766
1618;96,764
1619;96,762
1620;96,76
1621;96,758
1622;96,756
1623;96,754005
1624;96,752
1625;96,75
1626;96,748
1627;96,745995
1628;96,744
1629;96,742
1630;96,74
1631;96,738
1632;96,736
1633;96,734
1634;96,732
1635;96,73
1636;96,728
1637;96,726
1638;96,724
1639;96,722
1640;96,72
1641;96,718
1642;96,715996
1643;96,714005
1644;96,712
1645;96,71
1646;96,708
1647;96,706
1648;96,704
1649;96,701996
1650;96,7
1651;96,698
1652;96,696
1653;96,694
1654;96,692
1655;96,69
1656;96,688
1657;96,686
1658;96,684006
1659;96,682
1660;96,68
1661;96,678
1662;96,675995
1663;96,674
1664;96,672
1665;96,67
1666;96,668
1667;96,666
1668;96,664
1669;96,662
1670;96,66
1671;96,658
1672;96,656
1673;96,654
1674;96,652
1675;96,65
1676;96,648
1677;96,645996
1678;96,644005
1679;96,642
1680;96,64
1681;96,638
1682;96,635994
1683;96,634
1684;96,631996
1685;96,630005
1686;96,628
1687;96,626
1688;96,624
1689;96,622
1690;96,62
1691;96,618004
1692;96,616
1693;96,614
1694;96,612
1695;96,61
1696;96,608
1697;96,605995
1698;96,604004
1699;96,602
1700;96,6
1701;96,598
1702;96,596
1703;96,594
1704;96,591995
1705;96,590004
1706;96,588
1707;96,586
1708;96,584
1709;96,582
1710;96,58
1711;96,578
1712;96,576
1713;96,574005
1714;96,572
1715;96,57
1716;96,568
1717;96,565994
1718;96,564
1719;96,562
1720;96,56
1721;96,558
1722;96,556
1723;96,554
1724;96,552
1725;96,55
1726;96,548004
1727;96,546
1728;96,544
1729;96,542
1730;96,54
1731;96,538
1732;96,535995
1733;96,534004
1734;96,532
1735;96,53
1736;96,528
1737;96,526
1738;96,524
1739;96,521996
1740;96,520004
1741;96,518
1742;96,516
1743;96,514
1744;96,512
1745;96,51
1746;96,508
1747;96,506
1748;96,504005
1749;96,502
1750;96,5
1751;96,498
1752;96,495995
1753;96,494
1754;96,492
1755;96,490005
1756;96,488
1757;96,486
1758;96,484
1759;96,482
1760;96,48
1761;96,478
1762;96,476
1763;96,474
1764;96,472
1765;96,47
1766;96,468
1767;96,465996
1768;96,464005
1769;96,462
1770;96,46
1771;96,458
1772;96,45599
1773;96,454
1774;96,451996
1775;96,450005
1776;96,448
1777;96,446
1778;96,444
1779;96,442
1780;96,44
1781;96,438
1782;96,436
1783;96,434
1784;96,432
1785;96,43
1786;96,428
1787;96,425995
1788;96,424
1789;96,422
1790;96,42
1791;96,418
1792;96,416
1793;96,414
1794;96,411995
1795;96,41
1796;96,408
1797;96,406
1798;96,404
1799;96,402
1800;96,4
1801;96,398
1802;96,395996
1803;96,394005
1804;96,392
1805;96,39
1806;96,388
1807;96,385994
1808;96,384
1809;96,381996
1810;96,380005
1811;96,378
1812;96,376
1813;96,374
1814;96,372
1815;96,37
1816;96,368004
1817;96,366
1818;96,364
1819;96,362
1820;96,36
1821;96,358
1822;96,355995
1823;96,354004
1824;96,352
1825;96,350006
1826;96,348
1827;96,346
1828;96,344
1829;96,341995
1830;96,340004
1831;96,338
1832;96,336
1833;96,334
1834;96,332
1835;96,33
1836;96,328
1837;96,326
1838;96,324005
1839;96,322
1840;96,32
1841;96,318
1842;96,315994
1843;96,314
1844;96,312
1845;96,310005
1846;96,308
1847;96,306
1848;96,304
1849;96,302
1850;96,3
1851;96,298
1852;96,296
1853;96,294
1854;96,292
1855;96,29
1856;96,288
1857;96,285995
1858;96,284004
1859;96,282
1860;96,28
1861;96,278
1862;96,276
1863;96,274
1864;96,271996
1865;96,270004
1866;96,268
1867;96,266
1868;96,264
1869;96,262
1870;96,26
1871;96,258
1872;96,256
1873;96,254
1874;96,252
1875;96,25
1876;96,248
1877;96,245995
1878;96,244
1879;96,242
1880;96,240005
1881;96,238
1882;96,236
1883;96,234
1884;96,232
1885;96,23
1886;96,228
1887;96,226
1888;96,224
1889;96,222
1890;96,22
1891;96,218
1892;96,215996
1893;96,214005
1894;96,212
1895;96,21001
1896;96,208
1897;96,20599
1898;96,204
1899;96,201996
1900;96,200005
1901;96,198
1902;96,196
1903;96,194
1904;96,192
1905;96,19
1906;96,188
1907;96,186
1908;96,184
1909;96,182
1910;96,18
1911;96,178
1912;96,175995
1913;96,174
1914;96,172
1915;96,170006
1916;96,168
1917;96,166
1918;96,164
1919;96,161995
1920;96,16
1921;96,158
1922;96,156
1923;96,154
1924;96,152
1925;96,15
1926;96,148
1927;96,145996
1928;96,144005
1929;96,142
1930;96,14
1931;96,138
1932;96,136
1933;96,134
1934;96,131996
1935;96,130005
1936;96,128
1937;96,126
1938;96,124
1939;96,122
1940;96,12
1941;96,118
1942;96,116
1943;96,114
1944;96,112
1945;96,11
1946;96,108
1947;96,105995
1948;96,104004
1949;96,102
1950;96,100006
1951;96,098
1952;96,096
1953;96,094
1954;96,091995
1955;96,090004
1956;96,088
1957;96,086
1958;96,084
1959;96,082
1960;96,08
1961;96,078
1962;96,076
1963;96,074
1964;96,072
1965;96,07
1966;96,068
1967;96,065994
1968;96,064
1969;96,062
1970;96,060005
1971;96,058
1972;96,056
1973;96,054
1974;96,052
1975;96,05
1976;96,048
1977;96,046
1978;96,044
1979;96,042
1980;96,04
1981;96,038
1982;96,035995
1983;96,034004
1984;96,032
1985;96,03001
1986;96,028
1987;96,026
1988;96,024
1989;96,021996
1990;96,020004
1991;96,018
1992;96,016
1993;96,014
1994;96,012
1995;96,01
1996;96,008
1997;96,006
1998;96,004
1999;96,002
2000;96
2001;95,998
2002;95,996
2003;95,994
2004;95,992
2005;95,990005
2006;95,988
2007;95,986
2008;95,984
2009;95,981995
2010;95,98
2011;95,978
2012;95,976
2013;95,974
2014;95,972
2015;95,97
2016;95,968
2017;95,965996
2018;95,964005
2019;95,962
2020;95,96
2021;95,958
2022;95,956
2023;95,954
2024;95,951996
2025;95,950005
2026;95,948
2027;95,946
2028;95,944
2029;95,942
2030;95,94
2031;95,937996
2032;95,936
2033;95,934
2034;95,932
2035;95,93
2036;95,928
2037;95,925995
2038;95,924
2039;95,922
2040;95,920006
2041;95,918
2042;95,916
2043;95,914
2044;95,911995
2045;95,91
2046;95,908
2047;95,906
